id_combined,date,experiment,us,treatment,trust_promise,trust,promise,default_yes,default_no,promise_yes,reported_diceroll,correct_guess,age,female,education,universitydegree,sector,employed,highincome,politicalright,believeingod,believeinfreewill,generaltrust,age_35,am_politics,am_god,am_freewill,am_trust,reciprocity_norms,moral_obligation,consistency,negative_emotion,positive_emotion,activepromise_treatment,default_treatment
6408,  5/24/2022 6:41,3,1,Default_no,0,0,0,0,1,1,4,0,30,1,2,0,1,1,1,3,1,9,9,0,0,0,0,1,11,11,11,11,11,,1
6409,  5/24/2022 4:35,3,1,Promise,0,0,1,0,0,1,2,1,50,0,3,1,1,1,1,6,11,11,9,1,1,1,1,1,5,5,5,5,5,1,0
6410,  5/24/2022 6:27,3,1,Control,0,0,0,0,0,,3,0,20,1,2,0,3,0,0,4,5,9,7,0,0,0,0,0,11,11,11,11,11,0,0
6411,  5/24/2022 1:49,3,1,Default_yes,0,0,0,1,0,1,3,1,24,1,2,0,2,1,0,1,8,11,6,0,0,1,1,0,11,11,11,11,11,,1
6412, 5/24/2022 12:16,3,1,Trust_promise,1,0,0,0,0,1,5,0,51,0,4,1,2,1,1,9,11,11,8,1,1,1,1,1,11,11,11,4,7,1,0
6413, 5/24/2022 11:51,3,1,Trust,0,1,0,0,0,,1,1,34,0,2,0,3,0,0,6,3,4,4,0,1,0,0,0,11,8,8,2,1,,0
6414, 5/24/2022 12:02,3,1,Default_no,0,0,0,0,1,1,5,1,38,0,3,1,1,1,0,4,10,11,11,1,0,1,1,1,11,11,11,9,11,,1
6415,  5/24/2022 4:59,3,1,Default_yes,0,0,0,1,0,1,6,0,25,0,2,0,1,1,0,5,1,8,7,0,1,0,0,0,10,10,10,11,10,,1
6416,  5/24/2022 4:26,3,1,Control,0,0,0,0,0,,5,1,26,0,2,0,3,0,0,3,1,11,6,0,0,0,1,0,10,9,10,9,4,0,0
6417,  5/24/2022 3:26,3,1,Promise,0,0,1,0,0,1,2,0,31,0,3,1,1,1,1,7,7,7,9,0,1,1,0,1,4,9,11,9,9,1,0
