session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Student Status,Employment Status,Current Country of Residence,Nationality,First Language,Sex,Fluent languages,Industry
5e14dd8cdc79bdaf55d967b6,5a6dbea3e6cc4a0001b6c916,RETURNED,2020-01-07 19:35:45.910000,,841642.625063,50,434,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e14de98f87bcaae350d0e19,57e69f636598aa0001993629,AWAITING REVIEW,2020-01-07 19:40:08.553000,2020-01-07 20:19:05.300000,2336.747,56,49,0,100,,NOCODE,Germany,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14de9a8d257bafe089d70d,55d06fd334e9060012e5781c,AWAITING REVIEW,2020-01-07 19:40:12.063000,2020-01-07 19:48:58.880000,526.817,32,462,6,99,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14e106995b5e017ed7c9a2,5a646e2435f26b0001492aa3,AWAITING REVIEW,2020-01-07 19:50:35.410000,2020-01-07 20:06:49.583000,974.173,45,163,0,100,,693460E2,Italy,No,Full-Time,Italy,Italy,Italian,Male,English,Finance and Insurance
5e14e1764c81b2af1dda80e2,5796466d25cb71000128b16c,AWAITING REVIEW,2020-01-07 19:52:32.136000,2020-01-07 20:04:23.686000,711.55,49,167,4,99,,693460E2,Netherlands,No,Full-Time,Netherlands,Netherlands,Dutch,Male,English,Finance and Insurance
5e14e1e1749b77000e711649,55d234565bc5bc0005d90389,RETURNED,2020-01-07 20:05:00.066000,,839888.575432,29,629,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e14e21079d9e70545a5a5c3,5bd2e5ee1f1b080001bf2f99,AWAITING REVIEW,2020-01-07 19:54:56.428000,2020-01-07 20:03:17.054000,500.626,51,334,0,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14e26e557425ae6a7cfea1,5936d77cebf54a0001566901,AWAITING REVIEW,2020-01-07 19:56:33.021000,2020-01-07 20:01:49.408000,316.387,33,244,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14e2f2d62abeae9ff1aa06,5bc26cf6e4ef1d00016ca6d5,RETURNED,2020-01-07 19:58:45.262000,,840263.433113,40,287,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e14e4dedc79bdb02d5fb036,5933e8cbf0150b0001734c49,AWAITING REVIEW,2020-01-07 20:06:57.983000,2020-01-07 20:12:33.795000,335.812,41,569,5,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14e4ec7605feaf9071669d,5a8f60fe8fe2dc000106657d,AWAITING REVIEW,2020-01-07 20:07:08.127000,2020-01-07 20:11:03.648000,235.521,49,102,3,98,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14e5bbf87bcaaefe35b267,59f0458e3e4b5a00016aaaa0,AWAITING REVIEW,2020-01-07 20:10:35.879000,2020-01-07 20:15:09.825000,273.946,44,38,1,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14e8358f1fafaef5fc8e67,576b0cef7f3abb0001fe94f1,AWAITING REVIEW,2020-01-07 20:21:12.896000,2020-01-07 20:32:03.947000,651.051,27,1174,18,98,,693460E2,United States,No,Full-Time,United States,United States,English,Male,English,Finance and Insurance
5e14e90d3a6a8a000cf0b999,5a074adcff266c0001d1fd17,AWAITING REVIEW,2020-01-07 20:24:48.165000,2020-01-07 20:31:02.633000,374.468,35,271,2,100,,693460E2,United Kingdom,Yes,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14e920e44abf06b4cb8284,5a91cb166219a30001d2e6ef,AWAITING REVIEW,2020-01-07 20:25:06.802000,2020-01-07 20:32:14.405000,427.603,27,317,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14e981839079afb6d3fa1f,58b7232a67ae1000010646dd,AWAITING REVIEW,2020-01-07 20:26:44.141000,2020-01-07 20:37:54.473000,670.332,49,268,3,99,,693460E2,Bulgaria,No,Full-Time,Germany,Bulgaria,Bulgarian,Female,"English, Bulgarian, German, Greek, Russian",Finance and Insurance
5e14eb717caa1eaf564758ab,594be574ecd509000182c825,TIMED-OUT,2020-01-07 20:34:57.597000,,838091.293661,35,210,5,98,,,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14ec925777b5b11a016e83,5974d1487dd1460001ec4826,AWAITING REVIEW,2020-01-07 20:39:46.711000,2020-01-07 20:46:06.447000,379.736,41,132,0,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14ed666e6d8d000d4e0d4f,5b8abe3ba014120001b52c42,AWAITING REVIEW,2020-01-07 20:43:22.351000,2020-01-07 20:46:24.961000,182.61,58,65,3,96,,693460E2,Guyana,No,Full-Time,United States,United States,English,Male,English,Finance and Insurance
5e14ee33afb8b0b04a7d11f5,55b74f71fdf99b6e0c49975b,AWAITING REVIEW,2020-01-07 20:46:46.235000,2020-01-07 20:50:39.427000,233.192,42,516,8,98,,693460E2,United States,No,Full-Time,United States,United States,English,Male,English,Finance and Insurance
